old_occasion,identity_key,display_ref,service_section,service_hour,slot,slot_type,presentation_duplicate_rows,specific_coptic_day_count,specific_coptic_days,source_row_ids,validated,source_of_confusion,fix
annual fixed Coptic day,rid_081fca7a03d7cd05e0f7,Acts 19:11-20,liturgy_acts,,liturgy_acts,praxis,23,23,Abib 14; Abib 19; Abib 30; Abib 8; Amshir 5; Babah 27; Baramhat 1; Baramhat 27; Baramhat 7; Barmuda 13; Barmuda 4; Bashans 18; Baunah 10; Baunah 22; Hatur 22; Hatur 26; Mesra 19; Mesra 20; Mesra 26; Tubah 19; Tubah 9; Tut 27; Tut 28,317; 329; 710; 1039; 1090; 1640; 1760; 1947; 2280; 2359; 2602; 2687; 2793; 3218; 3500; 3646; 3848; 3923; 3977; 4102; 4326; 4339; 4411,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_08a164916dec8b6a6733,Acts 8:1,liturgy_acts,,liturgy_acts,praxis,12,12,Abib 12; Abib 24; Abib 4; Amshir 6; Baramhat 21; Baunah 15; Baunah 4; Hatur 15; Mesra 1; Mesra 13; Mesra 9; Tubah 28,943; 1868; 1959; 2524; 3425; 3555; 3797; 3896; 4034; 4113; 4202; 4248,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_11755e80bf592b44e151,Acts 7:8-22,liturgy_acts,,liturgy_acts,praxis,1,1,Baunah 30,3748,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_1bc6a69c84f782dbea4d,Acts 14:1-8,liturgy_acts,,liturgy_acts,praxis,1,1,Al-Nasi 2,4480,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2133d409485967ce8183,Acts 13:13-25,liturgy_acts,,liturgy_acts,praxis,1,1,Kiyahk 28,1497,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_22cedd87ca7e303711f7,Acts 9:22-30,liturgy_acts,,liturgy_acts,praxis,1,1,Tubah 3,1561,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2ad1de50c2d577230e2e,Acts 21:5-14,liturgy_acts,,liturgy_acts,praxis,24,24,Abib 1; Abib 17; Abib 28; Babah 1; Babah 6; Baramhat 15; Baramhat 26; Barmuda 11; Barmuda 25; Barmuda 6; Barmuda 8; Hatoor 10; Kiyahk 26; Mesra 15; Mesra 2; Mesra 21; Mesra 6; Tubah 24; Tubah 29; Tubah 30; Tut 10; Tut 20; Tut 29; Tut 5,61; 125; 240; 338; 364; 435; 878; 1472; 1822; 1878; 1887; 2444; 2590; 2708; 2729; 2764; 2936; 3757; 3954; 4079; 4123; 4167; 4276; 4348,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2b0bab21babf19b5545a,Acts 16:25-34,liturgy_acts,,liturgy_acts,praxis,1,1,Tubah 10,1651,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2b51b7fb62a086d83210,Acts 15:12-21,liturgy_acts,,liturgy_acts,praxis,6,6,Abib 7; Amshir 2; Babah 20; Kiyahk 25; Kiyahk 7; Mesra 17,620; 1243; 1460; 1910; 3833; 4297,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2c2baf95a89bbcfaf288,Acts 28:1-6,liturgy_acts,,liturgy_acts,praxis,11,11,Abib 20; Amshir 25; Amshir 28; Babah 15; Babah 19; Baramhat 18; Barmuda 2; Barmuda 20; Barmuda 24; Barmuda 26; Baunah 6,548; 608; 2204; 2246; 2485; 2657; 2879; 2926; 2948; 3452; 3989,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
annual fixed Coptic day,rid_2e588dc63d4fb6292a58,Acts 5:12-18,liturgy_acts,,liturgy_acts,praxis,2,2,Babah 12; Bashans 15,513; 3181,yes,katameros_cycle source_type was used as liturgical_place/occasion even though day_key/day_name carried the specific Coptic day,use day_name/day_key as liturgical_place for source_type=annual fixed Coptic day
