## Zephaniah 1:14-2:2
Monday Eve | Third Hour | Prophecy | Zeph 1:14-2:2 | raw=Zephaniah 1:14-2:1-2 | source=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:1967 page=80

## Isaiah 55:1-56:1
Great Thursday | Liturgy of Blessing of the Water | Prophecy | Isa 55:1-56:1 | raw=Isaiah 55:1-13-56:1 | source=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:10774 page=426

## Zechariah 12:11-14:9
Great Thursday | Eleventh Hour | Prophecy | Zech 12:11-14:3,14:6-9 | raw=Zechariah 12:11-14:1-3, 6-9 | source=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:11882 page=466
Good Friday | Ninth Hour | Prophecy | Zech 14:6-11 | raw=Zechariah 14:6-11 | source=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:15745 page=609

## Isaiah 55 crosswalk
## reverse crosswalk results
Great Thursday | Liturgy of Blessing of the Water | Prophecy | Isa 55:1-56:1 | source=pascha_source_text

## Zechariah crosswalk
## reverse crosswalk results
Great Thursday | Eleventh Hour | OT3 | Zech 12:11-14 | source=pascha_day_hour
Great Thursday | Eleventh Hour | Prophecy | Zech 12:11-14:3,14:6-9 | source=pascha_source_text
Great Thursday | Eleventh Hour | OT3 | Zech 13:1-9 | source=pascha_day_hour
Great Thursday | Eleventh Hour | OT3 | Zech 14:1-4 | source=pascha_day_hour
Good Friday | Ninth Hour | OT2 | Zech 14:5-11 | source=pascha_day_hour
Good Friday | Ninth Hour | Prophecy | Zech 14:6-11 | source=pascha_source_text
Great Thursday | Eleventh Hour | OT3 | Zech 14:6-9 | source=pascha_day_hour

## Zephaniah crosswalk
## reverse crosswalk results
Monday Eve | Third Hour | Prophecy | Zeph 1:14-2:2 | source=pascha_source_text

