
## abib21_2026_katameros.json title=None copticDate=21/11/1742
Vespers | Psalm & Gospel | reading 1 | title='' | refs=Ps 34:19-20
Vespers | Psalm & Gospel | reading 2 | title='' | refs=Matt 16:24-28
Matins | Psalm & Gospel | reading 1 | title='' | refs=Ps 37:39-40
Matins | Psalm & Gospel | reading 2 | title='' | refs=Mark 13:9-13
Liturgy | Pauline Epistle | reading 1 | title='' | refs=2Cor 10:1-18
Liturgy | Catholic Epistle | reading 1 | title='' | refs=1Pet 4:1-11
Liturgy | Acts of the Apostles | reading 1 | title='' | refs=Acts 12:25 ; Acts 13:1-12
Liturgy | Psalm & Gospel | reading 1 | title='' | refs=Ps 97:11-12
Liturgy | Psalm & Gospel | reading 2 | title='' | refs=Lk 11:53-54 ; Lk 12:1-12

## great_lent_saturday_week4_2026_katameros.json title=None copticDate=5/7/1742
Matins | Psalm & Gospel | reading 1 | title='' | refs=Ps 142:5,7
Matins | Psalm & Gospel | reading 2 | title='' | refs=Lk 16:19-31
Liturgy | Pauline Epistle | reading 1 | title='' | refs=Phil 4:4-9
Liturgy | Catholic Epistle | reading 1 | title='' | refs=James 3:13-18 ; James 4:1-6
Liturgy | Acts of the Apostles | reading 1 | title='' | refs=Acts 24:24-27 ; Acts 25:1-12
Liturgy | Psalm & Gospel | reading 1 | title='' | refs=Ps 61:1,5
Liturgy | Psalm & Gospel | reading 2 | title='' | refs=Matt 21:33-46

## great_thursday_2026_katameros.json title=Pascha Thursday copticDate=None
First Hour | subsection 1 | reading 1 | title='' | refs=Exod 17:8-16
First Hour | subsection 2 | reading 1 | title='' | refs=Exod 15:22-16:3
First Hour | subsection 3 | reading 1 | title='' | refs=Isa 58:1-9
First Hour | subsection 4 | reading 1 | title='' | refs=Ezek 18:20-32
First Hour | Acts of the Apostles | reading 1 | title='' | refs=Acts 1:15-20
First Hour | Psalm & Gospel | reading 1 | title='' | refs=Ps 55:21,12
First Hour | Psalm & Gospel | reading 2 | title='' | refs=Lk 22:7-13
Third Hour | subsection 1 | reading 1 | title='' | refs=Exod 32:30-33:5
Third Hour | subsection 2 | reading 1 | title='' | refs=Sir 24:1-11
Third Hour | subsection 3 | reading 1 | title='' | refs=Zech 9:11-14
Third Hour | subsection 4 | reading 1 | title='' | refs=Prov 30:2-6
Third Hour | Psalm & Gospel | reading 1 | title='' | refs=Ps 94:21,23
Third Hour | Psalm & Gospel | reading 2 | title='' | refs=Matt 26:17-19
Sixth Hour | subsection 1 | reading 1 | title='' | refs=Jer 7:2-15
Sixth Hour | subsection 2 | reading 1 | title='' | refs=Ezek 20:39-44
Sixth Hour | subsection 3 | reading 1 | title='' | refs=Sir 12:13-13:1
Sixth Hour | Psalm & Gospel | reading 1 | title='' | refs=Ps 31:18,13
Sixth Hour | Psalm & Gospel | reading 2 | title='' | refs=Mark 14:12-16
Ninth Hour | subsection 1 | reading 1 | title='' | refs=Gen 22:1-19
Ninth Hour | subsection 2 | reading 1 | title='' | refs=Isa 61:1-7
Ninth Hour | subsection 3 | reading 1 | title='' | refs=Gen 14:17-20
Ninth Hour | subsection 4 | reading 1 | title='' | refs=Job 27:2-28:13
Ninth Hour | Psalm & Gospel | reading 1 | title='' | refs=Ps 23:1,2
Ninth Hour | Psalm & Gospel | reading 2 | title='' | refs=Matt 26:17-19
Eleventh hour | subsection 1 | reading 1 | title='' | refs=Isa 52:13-53:12
Eleventh hour | subsection 2 | reading 1 | title='' | refs=Isa 19:19-25
Eleventh hour | subsection 3 | reading 1 | title='' | refs=Zech 12:11-13:9
Eleventh hour | subsection 3 | reading 2 | title='' | refs=Zech 14:1-4
Eleventh hour | subsection 3 | reading 3 | title='' | refs=Zech 14:6-9
