===== Wisdom 1:1-9 =====
## reverse crosswalk results
Monday | Sixth Hour | OT2 | Wis 1:1-9 | source=pascha_day_hour
Monday | Sixth Hour | Prophecy | Wis 1:1-9 | source=pascha_source_text

===== Wisdom 2:1-9 =====
## reverse crosswalk results
Wednesday | First Hour | OT4 | Wis 1:20-2:15 | source=pascha_day_hour

===== Wisdom 2:12-22 =====
## reverse crosswalk results
Wednesday | First Hour | OT4 | Wis 1:20-2:15 | source=pascha_day_hour
Good Friday | First Hour | OT6 | Wis 2:12-22 | source=pascha_day_hour
Good Friday | First Hour | Prophecy | Wis 2:12-22 | source=pascha_source_text
Monday | Eleventh Hour | OT2 | Wis 2:20-30 | source=pascha_day_hour
Tuesday | Eleventh Hour | OT2 | Wis 2:20-30 | source=pascha_day_hour

===== Wisdom 7:24-30 =====
## reverse crosswalk results
Wednesday Eve | Eleventh Hour | OT1 | Wis 7:24-30 | source=pascha_day_hour
Wednesday Eve | Eleventh Hour | Prophecy | Wis 7:24-30 | source=pascha_source_text

===== Sirach 4:20-5:2 =====
## reverse crosswalk results
Tuesday | Sixth Hour | OT2 | Sir 4:20-5:2 | source=pascha_day_hour
Tuesday | Sixth Hour | Prophecy | Sir 4:20-5:2 | source=pascha_source_text
week 7 day_of_week 2 | prophecy | GreatLentReadings | Sir 5:1-15 | source=katameros_cycle

===== Ezekiel 21:3-13 =====
## reverse crosswalk results
Tuesday | Sixth Hour | OT1 | Ezek 21:3-13 | source=pascha_day_hour
Tuesday | Sixth Hour | Prophecy | Ezek 21:3-13 | source=pascha_source_text

===== Isaiah 1:1-9 =====
## reverse crosswalk results
Tuesday | Sixth Hour | OT3 | Isa 1:1-9 | source=pascha_day_hour
Tuesday | Sixth Hour | Prophecy | Isa 1:1-9 | source=pascha_source_text
week 1 day_of_week 1 | prophecy | GreatLentReadings | Isa 1:2-18 | source=katameros_cycle
Good Friday | First Hour | OT2 | Isa 1:2-9 | source=pascha_day_hour
Good Friday | First Hour | Prophecy | Isa 1:2-9 | source=pascha_source_text

===== John 2:13-17 =====
## date results
2020-02-13 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2020-04-22 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2021-02-25 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2021-05-05 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2022-02-17 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2022-04-27 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2023-02-09 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2023-04-19 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2024-02-29 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2024-05-08 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2025-02-13 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2025-04-23 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2026-02-05 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2026-04-15 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2027-02-25 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2027-05-05 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2028-02-10 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2028-04-19 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
2029-02-01 | Jonah's Feast | Liturgy | Gospel | John 2:12-25
2029-04-11 | Wednesday of the first week of the holy fifty days | Liturgy | Gospel | Jn 2:12-25
## reverse crosswalk results
2023-02-09 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2024-02-29 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2025-02-13 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2026-02-05 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2027-02-25 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2028-02-10 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2029-02-01 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2030-02-21 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2031-02-06 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2021-02-25 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2032-02-26 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2020-02-13 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2033-02-17 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2034-02-02 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2035-02-22 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2022-02-17 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2020-04-22 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2023-04-19 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2024-05-08 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date
2025-04-23 | Liturgy | Gospel | Jn 2:12-25 | source=copticchurch_date

===== John 8:12-20 =====
## date results
2020-03-24 | Tuesday of the fifth week of Great Lent | Liturgy | Gospel | John 8:12-20
2020-05-05 | Tuesday of the third week of the holy fifty days | Liturgy | Gospel | Jn 8:12-16
2020-05-10 | Sunday of the third week of the holy fifty days | Vespers | Gospel | Jn 8:12-20
2021-04-06 | Tuesday of the fifth week of Great Lent | Liturgy | Gospel | John 8:12-20
2021-05-18 | Tuesday of the third week of the holy fifty days | Liturgy | Gospel | Jn 8:12-16
2021-05-23 | Sunday of the third week of the holy fifty days | Vespers | Gospel | Jn 8:12-20
2022-03-29 | Tuesday of the fifth week of Great Lent | Liturgy | Gospel | John 8:12-20
2022-05-10 | Tuesday of the third week of the holy fifty days | Liturgy | Gospel | Jn 8:12-16
2022-05-15 | Sunday of the third week of the holy fifty days | Vespers | Gospel | Jn 8:12-20
2023-03-21 | Tuesday of the fifth week of Great Lent | Liturgy | Gospel | John 8:12-20
2023-05-02 | Tuesday of the third week of the holy fifty days | Liturgy | Gospel | Jn 8:12-16
2023-05-07 | Sunday of the third week of the holy fifty days | Vespers | Gospel | Jn 8:12-20
2024-04-09 | Tuesday of the fifth week of Great Lent | Liturgy | Gospel | John 8:12-20
2024-05-21 | Tuesday of the third week of the holy fifty days | Liturgy | Gospel | Jn 8:12-16
2024-05-26 | Sunday of the third week of the holy fifty days | Vespers | Gospel | Jn 8:12-20
2025-03-25 | Tuesday of the fifth week of Great Lent | Liturgy | Gospel | John 8:12-20
2025-05-06 | Tuesday of the third week of the holy fifty days | Liturgy | Gospel | Jn 8:12-16
2025-05-11 | Sunday of the third week of the holy fifty days | Vespers | Gospel | Jn 8:12-20
2026-03-17 | Tuesday of the fifth week of Great Lent | Liturgy | Gospel | John 8:12-20
2026-04-28 | Tuesday of the third week of the holy fifty days | Liturgy | Gospel | Jn 8:12-16
## reverse crosswalk results
2020-05-05 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2023-05-02 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2024-05-21 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2025-05-06 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2026-04-28 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2027-05-18 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2028-05-02 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2029-04-24 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2030-05-14 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2031-04-29 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2032-05-18 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2033-05-10 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2021-05-18 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2034-04-25 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2035-05-15 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
2022-05-10 | Liturgy | Gospel | Jn 8:12-16 | source=copticchurch_date
week 3 day_of_week 2 | liturgy_gospel | PentecostReadings | Jn 8:12-16 | source=katameros_cycle
2020-05-10 | Vespers | Gospel | Jn 8:12-20 | source=copticchurch_date
2023-05-07 | Vespers | Gospel | Jn 8:12-20 | source=copticchurch_date
2024-05-26 | Vespers | Gospel | Jn 8:12-20 | source=copticchurch_date

===== John 11:55-57 =====
## reverse crosswalk results
Wednesday | First Hour | Psalm+Gospel | Jn 11:46-57 | source=pascha_day_hour
Wednesday | First Hour | Gospel | Jn 11:46-57 | source=pascha_source_text
