file,title,section_path,reading_index,reading_title,refs,introduction
bright_saturday_2026_katameros.json,Holy Saturday,Liturgy | Pauline Epistle,1,,1 Corinthians 15:1-22,"Paul, the servant of our Lord Jesus Christ, called to be an apostle, appointed to the Gospel of God. A reading from the First Epistle of our teacher Paul to the Corinthians. May his blessings be with us. Amen."
bright_saturday_2026_katameros.json,Holy Saturday,Liturgy | Catholic Epistle,1,,1 Peter 1:1-9,A Reading from the First Epistle of Saint Peter. May his blessings be upon us. Amen.
bright_saturday_2026_katameros.json,Holy Saturday,Liturgy | Acts of the Apostles,1,,Acts 3:12-21,"The Acts of our fathers the apostles, may their blessings be with us. Amen."
bright_saturday_2026_katameros.json,Holy Saturday,Liturgy | Synaxarium,1,"The Departure of Pope Michael II, 71st Patriarch of Alexandria",,
bright_saturday_2026_katameros.json,Holy Saturday,Liturgy | Synaxarium,2,"The Departure of St. John, Bishop of Jerusalem",,
bright_saturday_2026_katameros.json,Holy Saturday,Liturgy | Psalm & Gospel,1,,"Psalms 3:5,3; Psalms 82:8","From the Psalms of our father David the prophet and the king, may his blessings be with us all. Amen."
bright_saturday_2026_katameros.json,Holy Saturday,Liturgy | Psalm & Gospel,2,,Matthew 28:1-20,"Blessed is he who comes in the Name of the Lord. Our Lord, God and Savior Jesus Christ, Son of the Living God, unto Him be the glory forever, Amen."
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Deuteronomy 8:19-9:24,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Isaiah 1:2-9,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Isaiah 2:10-21,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Jeremiah 22:29-23:6,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Isaiah 24:1-13,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Wisdom of Solomon 2:12-22,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Job 12:18-13:1,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Zechariah 11:11-14,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Micah 1:16-2:3,
good_friday_2026_katameros.json,Pascha Friday,First Hour | section_2,1,,Micah 7:1-8,
good_friday_2026_katameros.json,Pascha Friday,First Hour | Psalm & Gospel,1,,"Psalms 27:12; Psalms 35:11,12,16",
good_friday_2026_katameros.json,Pascha Friday,First Hour | Psalm & Gospel,2,,Matthew 27:1-14,
good_friday_2026_katameros.json,Pascha Friday,First Hour | Psalm & Gospel,3,,Mark 15:1-5,
good_friday_2026_katameros.json,Pascha Friday,First Hour | Psalm & Gospel,4,,Luke 22:66-71; Luke 23:1-12,
good_friday_2026_katameros.json,Pascha Friday,First Hour | Psalm & Gospel,5,,John 18:28-40,
good_friday_2026_katameros.json,Pascha Friday,Third Hour | section_2,1,,Genesis 48:1-19,
good_friday_2026_katameros.json,Pascha Friday,Third Hour | section_2,1,,Isaiah 50:4-9,
good_friday_2026_katameros.json,Pascha Friday,Third Hour | section_2,1,,Isaiah 3:9-15,
good_friday_2026_katameros.json,Pascha Friday,Third Hour | section_2,1,,Isaiah 63:1-7,
good_friday_2026_katameros.json,Pascha Friday,Third Hour | section_2,1,,Amos 9:4-6,
