prayer_group,prayer_key,prayer_name,service_order,reading_type,raw_ref,display_ref,canonical_ref,matched_ref,source_title,source_url,source_page,notes,source_kind
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 1,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 2,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 3,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 4,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 5,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 6,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 8,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 12,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 13,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
daily_hours,first_hour,First Hour (Prime / Morning Prayer),1,psalm,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Psalm 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 11 (12); Psalm 12 (13); Psalm 14 (15); Psalm 15 (16); Psalm 18 (19); Psalm 24 (25); Psalm 26 (27); Psalm 62 (63); Psalm 66 (67); Psalm 69 (70); Psalm 112 (113); Psalm 142 (143),Ps 1; Psalm 2; Psalm 3; Psalm 4; Psalm 5; Psalm 6; Psalm 8; Psalm 12; Psalm 13; Psalm 15; Psalm 16; Psalm 19; Psalm 25; Psalm 27; Psalm 63; Psalm 67; Psalm 70; Psalm 113; Psalm 143,Ps 15,Book of Agpeya,https://www.saintbishoy.ca/wp-content/uploads/Rites_Agpeya_Book.pdf,St. Bishoy Agpeya PDF (text extracted locally for validation),Canonical raw_ref uses standard English numbering; display_ref preserves the Agpeya printed numbering.,agpeya
