testament,book,book_abbrev,chapter,chapter_ref,is_read,occurrence_count,source_kinds,liturgical_places,service_sections,reading_types,sample_occurrences
Old Testament,Genesis,Gen,1,Gen 1,yes,2,pascha_day_hour,Monday,First Hour,OT1,pascha_day_hour | Monday | First Hour | OT1 | Gen 1:1-2:3 || pascha_day_hour | Monday | First Hour | OT1 | Gen 1:1-31
Old Testament,Genesis,Gen,2,Gen 2,yes,4,pascha_day_hour,Monday,First Hour; Ninth Hour,OT1,pascha_day_hour | Monday | First Hour | OT1 | Gen 1:1-2:3 || pascha_day_hour | Monday | First Hour | OT1 | Gen 2:1-3 || pascha_day_hour | Monday | Ninth Hour | OT1 | Gen 2:15-25 || pascha_day_hour | Monday | Ninth Hour | OT1 | Gen 2:15-3:24
Old Testament,Genesis,Gen,3,Gen 3,yes,2,pascha_day_hour,Monday,Ninth Hour,OT1,pascha_day_hour | Monday | Ninth Hour | OT1 | Gen 2:15-3:24 || pascha_day_hour | Monday | Ninth Hour | OT1 | Gen 3:1-24
Old Testament,Genesis,Gen,4,Gen 4,no,0,,,,,
Old Testament,Genesis,Gen,5,Gen 5,no,0,,,,,
Old Testament,Genesis,Gen,6,Gen 6,yes,1,pascha_day_hour,Tuesday,Ninth Hour,OT1,pascha_day_hour | Tuesday | Ninth Hour | OT1 | Gen 6:5-9:7
Old Testament,Genesis,Gen,7,Gen 7,yes,1,pascha_day_hour,Tuesday,Ninth Hour,OT1,pascha_day_hour | Tuesday | Ninth Hour | OT1 | Gen 6:5-9:7
Old Testament,Genesis,Gen,8,Gen 8,yes,1,pascha_day_hour,Tuesday,Ninth Hour,OT1,pascha_day_hour | Tuesday | Ninth Hour | OT1 | Gen 6:5-9:7
Old Testament,Genesis,Gen,9,Gen 9,yes,1,pascha_day_hour,Tuesday,Ninth Hour,OT1,pascha_day_hour | Tuesday | Ninth Hour | OT1 | Gen 6:5-9:7
Old Testament,Genesis,Gen,10,Gen 10,no,0,,,,,
Old Testament,Genesis,Gen,11,Gen 11,no,0,,,,,
