testament,book,book_abbrev,chapter,chapter_ref,passage,source_kind,liturgical_place,calendar_key,gregorian_date,coptic_date,day_title,service_section,reading_type,source_ref,url,occasion_label,service_label,reading_label
Deuterocanonical,Baruch,Bar,2,Bar 2,Bar 2:11-16,bright_saturday_service_order,PRAISES OF THE PROPHETS,Bright Saturday | Midnight Praises,,,Bright Saturday,Midnight Praises,Prayer of Baruch,Baruch 2:11-16,,Bright Saturday,Midnight Praises,Prayer of Baruch
Deuterocanonical,Sirach,Sir,1,Sir 1,Sir 1:1-14,pascha_source_text,Monday,Monday | First Hour,,,Monday,First Hour,Prophecy,Sir 1:1-14,,Monday,First Hour,Prophecy
Deuterocanonical,Sirach,Sir,1,Sir 1,Sir 1:18-27,pascha_source_text,Monday,Monday | Eleventh Hour,,,Monday,Eleventh Hour,Prophecy,Sir 1:18-27,,Monday,Eleventh Hour,Prophecy
Deuterocanonical,Sirach,Sir,1,Sir 1,Sir 1:1-14,pascha_source_text,Tuesday,Tuesday | Third Hour,,,Tuesday,Third Hour,Prophecy,Sir 1:1-14,,Tuesday,Third Hour,Prophecy
Deuterocanonical,Sirach,Sir,2,Sir 2,Sir 2:1-23,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 3 day_of_week 5,, ,,prophecy,GreatLentReadings,Sir 2:1-23,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Sirach,Sir,3,Sir 3,Sir 3:1-4,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 3 day_of_week 5,, ,,prophecy,GreatLentReadings,Sir 3:1-4,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Sirach,Sir,4,Sir 4,Sir 4:20-5:2,pascha_day_hour,Tuesday,Tuesday | Sixth Hour,,,Tuesday,Sixth Hour,OT2,Sir 4:20-5:2,,Tuesday,Sixth Hour,OT2
Deuterocanonical,Sirach,Sir,5,Sir 5,Sir 5:1-15,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 7 day_of_week 2,, ,,prophecy,GreatLentReadings,Sir 5:1-15,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Sirach,Sir,5,Sir 5,Sir 4:20-5:2,pascha_day_hour,Tuesday,Tuesday | Sixth Hour,,,Tuesday,Sixth Hour,OT2,Sir 4:20-5:2,,Tuesday,Sixth Hour,OT2
Deuterocanonical,Sirach,Sir,8,Sir 8,Sir 8:1-22,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 4 day_of_week 2,, ,,prophecy,GreatLentReadings,Sir 8:1-22,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Sirach,Sir,10,Sir 10,Sir 10:1-25,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 4 day_of_week 2,, ,,prophecy,GreatLentReadings,Sir 10:1-25,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Sirach,Sir,10,Sir 10,Sir 10:1-33,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 3,, ,,prophecy,GreatLentReadings,Sir 10:1-33,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Sirach,Sir,11,Sir 11,Sir 11:1-10,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 4,, ,,prophecy,GreatLentReadings,Sir 11:1-10,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Sirach,Sir,22,Sir 22,Sir 22:7-18,pascha_day_hour,Wednesday,Wednesday | Third Hour,,,Wednesday,Third Hour,OT2,Sir 22:7-18,,Wednesday,Third Hour,OT2
Deuterocanonical,Sirach,Sir,23,Sir 23,Sir 23:7-14,pascha_day_hour,Wednesday,Wednesday | Sixth Hour,,,Wednesday,Sixth Hour,OT2,Sir 23:7-14,,Wednesday,Sixth Hour,OT2
Deuterocanonical,Sirach,Sir,23,Sir 23,Sir 23:7-14,pascha_source_text,Great Thursday,Great Thursday | Sixth Hour,,,Great Thursday,Sixth Hour,Prophecy,Sir 23:7-14,,Great Thursday,Sixth Hour,Prophecy
Deuterocanonical,Sirach,Sir,24,Sir 24,Sir 24:1-11,pascha_day_hour,Great Thursday,Great Thursday | Third Hour,,,Great Thursday,Third Hour,OT2,Sir 24:1-11,,Great Thursday,Third Hour,OT2
Deuterocanonical,Tobit,Tob,1,Tob 1,Tob 1:1-22,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 1:1-22,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,2,Tob 2,Tob 2:1-14,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 2:1-14,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,3,Tob 3,Tob 3:1-6,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 3:1-6,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,3,Tob 3,Tob 3:16-17,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 3:16-17,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,3,Tob 3,Tob 3:7-15,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 3:7-15,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,4,Tob 4,Tob 4:1-21,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 4:1-21,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,5,Tob 5,Tob 5:1-22,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 5:1-22,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,6,Tob 6,Tob 6:1-8,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 6:1-8,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,6,Tob 6,Tob 6:9-17,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 6:9-17,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,7,Tob 7,Tob 7:1-18,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 7:1-18,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,8,Tob 8,Tob 8:1-21,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 8:1-21,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,9,Tob 9,Tob 9:1-6,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 9:1-6,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,10,Tob 10,Tob 10:1-12,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 10:1-12,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,11,Tob 11,Tob 11:1-19,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 11:1-19,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,12,Tob 12,Tob 12:1-22,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 12:1-22,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,13,Tob 13,Tob 13:1-18,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 13:1-18,,Great Lent/Jonah/Nineveh cycle,Prophecy,
Deuterocanonical,Tobit,Tob,14,Tob 14,Tob 14:1-15,katameros_cycle,Great Lent/Jonah/Nineveh cycle,week 6 day_of_week 5,, ,,prophecy,GreatLentReadings,Tob 14:1-15,,Great Lent/Jonah/Nineveh cycle,Prophecy,
