section,subsection,reading_name,reference,notes,assignee,tearoff
,Service Section,Reading / Description,Reference,Special Notes,Assignee,Tear-off Label
,SERVICE COORDINATION,Procession Organization,,"Coordinates all 3 processions: order of deacons, candle distribution, timing of movement around church.",,★ Service: Procession Organization
,SERVICE COORDINATION,Inside Altar Service,,Coordinates serving inside the altar throughout the entire vigil and liturgy.,,★ Service: Inside Altar Service
PRAISES OF THE PROPHETS,Midnight Praises,Second Praise of Moses,Deuteronomy 32:1-42,Sit reverently. One of the longer prophetic readings.,,Praises: Second Praise of Moses (Deut. 32:1-42)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Hannah,1 Samuel 2:1-11,Sit reverently.,,Praises: Prayer of Hannah (1 Sam. 2:1-11)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Habakkuk,Habakkuk 3:2-19,Sit reverently.,,Praises: Prayer of Habakkuk (Hab. 3:2-19)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Jonah,Jonah 2:2-10,,,Praises: Prayer of Jonah (Jonah 2:2-10)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Hezekiah,Isaiah 38:10-20,,,Praises: Prayer of Hezekiah (Isa. 38:10-20)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of King Manasseh,,Read in English. Reference not confirmed in sources,#iykyk,Praises: Prayer of King Manasseh
PRAISES OF THE PROPHETS,Midnight Praises,First Prayer of Isaiah,Isaiah 26:9-20,,,Praises: First Prayer of Isaiah (Isa. 26:9-20)
PRAISES OF THE PROPHETS,Midnight Praises,Second Prayer of Isaiah,Isaiah 25:1-12,,,Praises: Second Prayer of Isaiah (Isa. 25:1-12)
PRAISES OF THE PROPHETS,Midnight Praises,Third Prayer of Isaiah,Isaiah 26:1-9,,,Praises: Third Prayer of Isaiah (Isa. 26:1-9)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Jeremiah,Lamentations 5:16-22,,,Praises: Prayer of Jeremiah (Lam. 5:16-22)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Baruch,Baruch 2:11-16,,,Praises: Prayer of Baruch (Baruch 2:11-16)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Elijah,1 Kings 18:36-39,,,Praises: Prayer of Elijah (1 Kgs. 18:36-39)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of David,1 Chronicles 29:10-13,,,Praises: Prayer of David (1 Chr. 29:10-13)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Solomon,1 Kings 8:22-30,,,Praises: Prayer of Solomon (1 Kgs. 8:22-30)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Daniel,Daniel 9:4-19,,,Praises: Prayer of Daniel (Dan. 9:4-19)
PRAISES OF THE PROPHETS,Midnight Praises,Vision of Daniel – Three Youth in the Fiery Furnace,Daniel 3:1-23,,#iykyk,Praises: Vision of Three Youth (Dan. 3:1-23)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Azariah (Part 1),Daniel 3:25-51,First portion only. Second part follows after the 3rd Canticle.,#iykyk,"Praises: Prayer of Azariah, Pt. 1 (Dan. 3:25-51)"
PRAISES OF THE PROPHETS,Midnight Praises,Praise of the Virgin Mary,Luke 1:46-55,Read after the 3rd Canticle section.,,Praises: Praise of Virgin Mary (Luke 1:46-55)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Zacharias the Priest,Luke 1:68-79,,,Praises: Prayer of Zacharias (Luke 1:68-79)
PRAISES OF THE PROPHETS,Midnight Praises,Prayer of Simeon the Elder,Luke 2:29-32,,,Praises: Prayer of Simeon the Elder (Luke 2:29-32)
PRAISES OF THE PROPHETS,Midnight Praises,Story of Susannah and Daniel the Prophet,,Typically read by Abouna. Confirm with clergy. Congregation listens attentively.,,Praises: Story of Susannah and Daniel
MATINS / RAISING OF INCENSE,Matins,Prophecy of Isaiah,,Coordinate exact reference with Abouna before service. Read/chanted in applicable tune.,,Matins: Prophecy
MATINS / RAISING OF INCENSE,Matins,Pauline Epistle,,"Intro (Ethveti): half Pascha tune until 'Jesus Christ,' then annual tune from 'Pi apostolos' to end. Conclusion follows reading.",,Matins: Pauline Epistle
MATINS / RAISING OF INCENSE,Matins,Psalm + Gospel,Ps. 88:4-5; 44:23-26; 126:2-3 + Matt. 27:62-66,Psalm: half fast Paschal tune / half annual tune. Gospel: half Paschal tune / half annual tune.,,Matins: Psalm + Gospel (half tunes)
3RD HOUR,3rd Hour,Prophecy,Jeremiah 13:15-22,Psalms of the 3rd Hour are distributed to congregation; not individually assigned here.,,3rd Hour: Prophecy (Jer. 13:15-22)
3RD HOUR,3rd Hour,Psalm + Gospel,Ps. 16:10-11 + Matt. 16:24-28,Psalm: half fast Paschal tune / half annual tune. Gospel: half Paschal tune / half annual tune.,,3rd Hour: Psalm + Gospel (half tunes)
6TH HOUR,6th Hour,Prophecy,Isaiah 50:10–51:8,Psalms of the 6th Hour are distributed to congregation; not individually assigned here.,,6th Hour: Prophecy (Isa. 50:10–51:8)
6TH HOUR,6th Hour,Psalm + Gospel,Ps. 130:1; 142:7 + Matt. 5:3-12,Psalm: half fast Paschal tune / half annual tune. Gospel: half Paschal tune / half annual tune.,,6th Hour: Psalm + Gospel (half tunes)
9TH HOUR,9th Hour,Prophecy,Isaiah 45:15-20,Psalms of the 9th Hour are distributed; not individually assigned here.,,9th Hour: Prophecy (Isa. 45:15-20)
9TH HOUR,9th Hour,Prophecy,Jeremiah 31:31-34,Second prophecy reading for the 9th Hour.,,9th Hour: Prophecy (Jer. 31:31-34)
9TH HOUR,9th Hour,Psalm + Gospel,"Ps. 41:10, 5 + John 5:21-30",Psalm: half fast Paschal tune / half annual tune. Gospel: half Paschal tune / half annual tune. Leads into the Procession of the Lamb.,,9th Hour: Psalm + Gospel (half tunes)
ST. BASIL LITURGY – LITURGY OF THE WORD,Liturgy,Pauline Epistle,1 Corinthians 15:1-22,"Intro (Ethveti): half Pascha tune until 'Jesus Christ,' then annual tune from 'Pi apostolos.' Conclusion follows.",,Liturgy: Pauline Epistle (1 Cor. 15:1-22)
ST. BASIL LITURGY – LITURGY OF THE WORD,Liturgy,Catholic Epistle,1 Peter 1:1-9,,,Liturgy: Catholic Epistle (1 Pet. 1:1-9)
ST. BASIL LITURGY – LITURGY OF THE WORD,Liturgy,Praxis,Acts 3:12-21,,,Liturgy: Praxis (Acts 3:12-21)
ST. BASIL LITURGY – LITURGY OF THE WORD,Liturgy,Psalm + Gospel,"Ps. 3:5, 3; 82:8 + Matt. 28:1-20",Psalm: half fast Paschal tune / half annual tune. Gospel: half Paschal tune / half annual tune.,,Liturgy: Psalm + Gospel (half tunes)
