source,gregorian_date,weekday,day_title,service_section,reading_type,matched_ref,raw_ref,source_ref_status,normalization_warning,url
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Liturgy,Acts of the Apostles,Acts 10:21-33,Acts 10:21-33,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Liturgy,Catholic Epistle,1Pet 1:3-12,1Pet 1:3-12,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Liturgy,Gospel,Lk 1:26-38,Lk 1:26-38,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Liturgy,Pauline Epistle,Heb 2:5-18,Heb 2:5-18,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Liturgy,Psalm,Ps 138:1-2,Psalm 138:1-2,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Matins,Gospel,Matt 18:10-20,Matt 18:10-20,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Matins,Psalm,Ps 97:7-8,Psalm 97:7-8,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Vespers,Gospel,Matt 16:24-28,Matt 16:24-28,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-01,Wednesday,Kiak 22,Vespers,Psalm,Ps 34:7-8,Psalm 34:7-8,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=01
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Liturgy,Acts of the Apostles,Acts 15:21-29,Acts 15:21-29,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Liturgy,Catholic Epistle,2Pet 1:19-2:8,2Pet 1:19—  &  2Pet 2:1-8,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Liturgy,Gospel,Matt 23:13-36,Matt 23:13-36,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Liturgy,Pauline Epistle,Heb 11:17-27,Heb 11:17-27,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Liturgy,Psalm,Ps 99:6-7,Psalm 99:6-7,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Matins,Gospel,Matt 17:1-9,Matt 17:1-9,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Matins,Psalm,Ps 105:26,Psalm 105:26  &  Psalm 105:27  &  Psalm 105:45,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
copticchurch.net daily scrape,2020-01-02,Thursday,Kiak 23,Matins,Psalm,Ps 105:27,Psalm 105:26  &  Psalm 105:27  &  Psalm 105:45,ok,,https://copticchurch.net/readings?g_year=2020&g_month=01&g_day=02
