book,book_abbrev,chapter,verse_start,verse_end,raw_segment,normalized_segment,canonical_segment,source,source_table,source_type,cycle,day_key,month_number,month_name,day,week,day_of_week,day_name,season,other,reading_slot,raw_ref,normalized_ref
Psalms,Ps,96,1,2,19.96:1-2,Ps 96:1-2,Ps 96:1-2,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,vespers_psalm,19.96:1-2,Ps 96:1-2
Matthew,Matt,13,44,52,40.13:44-52,Matt 13:44-52,Matt 13:44-52,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,vespers_gospel,40.13:44-52,Matt 13:44-52
Psalms,Ps,98,1,1,19.98:1,Ps 98:1,Ps 98:1,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,matins_psalm,19.98:1,Ps 98:1
Mark,Mark,2,18,22,41.2:18-22,Mark 2:18-22,Mark 2:18-22,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,matins_gospel,41.2:18-22,Mark 2:18-22
2 Corinthians,2Cor,5,11,21,47.5:11-21*,2Cor 5:11-21,2Cor 5:11-21,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,liturgy_pauline,47.5:11-21*@+47.6:1-13,2Cor 5:11-21; 2Cor 6:1-13
2 Corinthians,2Cor,6,1,13,47.6:1-13,2Cor 6:1-13,2Cor 6:1-13,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,liturgy_pauline,47.5:11-21*@+47.6:1-13,2Cor 5:11-21; 2Cor 6:1-13
1 John,1Jn,2,7,17,62.2:7-17,1Jn 2:7-17,1Jn 2:7-17,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,liturgy_catholic,62.2:7-17,1Jn 2:7-17
Acts,Acts,17,16,34,44.17:16-34,Acts 17:16-34,Acts 17:16-34,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,liturgy_acts,44.17:16-34,Acts 17:16-34
Psalms,Ps,65,11,11,"19.65:11,12*",Ps 65:11,Ps 65:11,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,liturgy_psalm,"19.65:11,12*@+19.81:1","Ps 65:11,12; Ps 81:1"
Psalms,Ps,65,12,12,"19.65:11,12*",Ps 65:12,Ps 65:12,katameros-api sqlite,AnnualReadings,annual fixed Coptic day,Annual,Tut 1,1,Tut,1,,,Feast of Nayrouz,Waters of the rivers,,liturgy_psalm,"19.65:11,12*@+19.81:1","Ps 65:11,12; Ps 81:1"
