day,hour,source_kind,source_family,source_file,source_line,source_page,order,reading_type,raw_ref,normalized_ref,parse_status,provenance_note
Hosanna Sunday,Ninth Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1393,57,1,Prophecy,Lamentations 1:1-4,Lam 1:1-4,parsed,St. Mary Ottawa Holy Pascha extracted text.
Hosanna Sunday,Ninth Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1438,58,2,Prophecy,Zephaniah 3:11-20,Zeph 3:11-20,parsed,St. Mary Ottawa Holy Pascha extracted text.
Hosanna Sunday,Ninth Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1470,60,3,Psalm,"Psalm 8:2,3","Ps 8:2,8:3",parsed,St. Mary Ottawa Holy Pascha extracted text.
Hosanna Sunday,Ninth Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1489,60,4,Gospel,Matthew 21:10-17,Matt 21:10-17,parsed,St. Mary Ottawa Holy Pascha extracted text.
Hosanna Sunday,Eleventh Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1572,64,1,Prophecy,Isaiah 48:12-22,Isa 48:12-22,parsed,St. Mary Ottawa Holy Pascha extracted text.
Hosanna Sunday,Eleventh Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1633,66,2,Prophecy,Nahum 1:2-8,Nah 1:2-8,parsed,St. Mary Ottawa Holy Pascha extracted text.
Hosanna Sunday,Eleventh Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1677,68,3,Psalm,Psalm 22:22-23,Ps 22:22-23,parsed,St. Mary Ottawa Holy Pascha extracted text.
Hosanna Sunday,Eleventh Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1678,68,4,Gospel,Matthew 20:20-28,Matt 20:20-28,parsed,St. Mary Ottawa Holy Pascha extracted text.
Monday Eve,First Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1782,73,1,Prophecy,Zephaniah 1:2-12,Zeph 1:2-12,parsed,St. Mary Ottawa Holy Pascha extracted text.
Monday Eve,First Hour,pascha_source_text,holy_pascha,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,1850,76,2,Psalm,"Psalm 27:6,7","Ps 27:6,27:7",parsed,St. Mary Ottawa Holy Pascha extracted text.
