passage,cycle_occurrences,date_occurrences,special_service_occurrences,agpeya_occurrences,pascha_occurrences,pascha_source_text_occurrences,bright_saturday_occurrences,total_occurrences
1Chr 29:10-13,0,0,0,0,0,0,1,1
1Cor 10:1-13,1,16,1,0,0,0,0,18
1Cor 10:14-11:1,0,15,0,0,0,0,0,15
1Cor 10:14-33,1,0,0,0,0,0,0,1
1Cor 10:25-11:1,0,14,0,0,0,0,0,14
1Cor 10:25-32,1,0,0,0,0,0,0,1
1Cor 11:1,2,0,0,0,0,0,0,2
1Cor 11:2-16,1,16,0,0,0,0,0,17
1Cor 11:23-34,0,0,0,0,0,1,0,1
1Cor 12:1-31,1,16,0,0,0,0,0,17
1Cor 12:28-13:8,0,0,1,0,0,0,0,1
1Cor 12:28-31,0,0,1,0,0,0,0,1
1Cor 12:31,2,0,0,0,0,0,0,2
1Cor 12:31-14:1,0,15,0,0,0,0,0,15
1Cor 12:31-14:4,0,16,0,0,0,0,0,16
1Cor 13:1-12,0,0,1,0,0,0,0,1
1Cor 13:1-13,2,0,0,0,0,0,0,2
1Cor 13:11-13,1,0,0,0,0,0,0,1
1Cor 13:11-14:4,0,24,0,0,0,0,0,24
1Cor 13:13-14:17,0,0,1,0,0,0,0,1
1Cor 14:1,1,0,0,0,0,0,0,1
1Cor 14:1-4,2,0,0,0,0,0,0,2
1Cor 14:12-17,1,16,0,0,0,0,0,17
1Cor 14:18-25,6,9,0,0,0,0,0,15
1Cor 14:18-28,1,16,0,0,0,0,0,17
1Cor 14:18-33,1,2,0,0,0,0,0,3
1Cor 14:18-40,0,0,1,0,0,0,0,1
1Cor 14:5-11,1,16,0,0,0,0,0,17
1Cor 14:5-17,1,15,0,0,0,0,0,16
1Cor 15:1-22,0,0,0,0,1,0,1,2
1Cor 15:1-23,0,0,1,0,0,0,0,1
1Cor 15:1-27,0,0,1,0,0,0,0,1
1Cor 15:23-49,1,16,0,0,0,0,0,17
1Cor 15:39-49,0,0,1,0,0,0,0,1
1Cor 15:50-58,1,16,1,0,0,0,0,18
1Cor 15:57-16,1,0,0,0,0,0,0,1
1Cor 15:57-16:8,0,16,0,0,0,0,0,16
1Cor 16:12-23,0,16,0,0,0,0,0,16
1Cor 16:12-24,1,0,0,0,0,0,0,1
1Cor 1:1-16,1,1,0,0,0,0,0,2
1Cor 1:1-17,1,20,0,0,0,0,0,21
1Cor 1:17-31,3,46,0,0,0,0,0,49
1Cor 1:23-2:5,0,0,0,0,0,1,0,1
1Cor 2:1-16,1,9,0,0,0,0,0,10
1Cor 2:1-8,1,16,0,0,0,0,0,17
1Cor 2:6-16,1,10,0,0,0,0,0,11
1Cor 3:1-8,11,88,0,0,0,0,0,99
1Cor 3:4-23,14,123,0,0,0,0,0,137
1Cor 3:9-23,1,14,0,0,0,0,0,15
1Cor 4:1-16,2,31,0,0,0,0,0,33
1Cor 4:16-5,1,0,0,0,0,0,0,1
1Cor 4:16-5:9,0,15,0,0,0,0,0,15
1Cor 5:11-13,1,14,0,0,0,0,0,15
1Cor 5:9-6,1,0,0,0,0,0,0,1
1Cor 5:9-6:5,0,15,0,0,0,0,0,15
1Cor 6:1-11,1,14,0,0,0,0,0,15
1Cor 7:12-14,0,0,1,0,0,0,0,1
1Cor 9:1-27,2,30,0,0,0,0,0,32
