gregorian_date,day_title,service_section,reading_type,raw_ref,repaired_ref,source_ref_status,normalization_warning,url
2020-02-24,Great Lent,Vespers,Gospel,Mk 14:-3-9,Mk 14:3-9,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2020&g_month=02&g_day=24
2020-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2020&g_month=08&g_day=13
2021-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2021&g_month=08&g_day=13
2022-02-23,Amshir 16,Vespers,Gospel,Mk 14:-3-9,Mk 14:3-9,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2022&g_month=02&g_day=23
2022-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2022&g_month=08&g_day=13
2024-02-24,Amshir 16,Vespers,Gospel,Mk 14:-3-9,Mk 14:3-9,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=24
2024-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2024&g_month=08&g_day=13
2025-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2025&g_month=08&g_day=13
2026-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2026&g_month=08&g_day=13
2027-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2027&g_month=08&g_day=13
2029-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2029&g_month=08&g_day=13
2030-02-23,Amshir 16,Vespers,Gospel,Mk 14:-3-9,Mk 14:3-9,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2030&g_month=02&g_day=23
2030-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2030&g_month=08&g_day=13
2031-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2031&g_month=08&g_day=13
2032-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2032&g_month=08&g_day=13
2033-02-23,Amshir 16,Vespers,Gospel,Mk 14:-3-9,Mk 14:3-9,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2033&g_month=02&g_day=23
2033-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2033&g_month=08&g_day=13
2035-02-23,Amshir 16,Vespers,Gospel,Mk 14:-3-9,Mk 14:3-9,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2035&g_month=02&g_day=23
2035-08-13,Mesra 7,Vespers,Gospel,Mk 14:-39,Mk 14:39,repaired,repaired_negative_verse_marker,https://copticchurch.net/readings?g_year=2035&g_month=08&g_day=13
