service_family,service_variant,section,reading_type,raw_ref,canonical_ref,matched_ref,source_title,source_url,source_page,notes,source_kind
wedding_crowning,holy_matrimony_main,main_readings,pauline,Ephesians 5:22-6:3,Eph 5:22-6:3,Eph 5:22-6:3,The Holy Matrimony Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Wedding_Ceremony.pdf,https://saintbishoy.ca/service-books/,Main crowning rite Pauline reading.,special_service
wedding_crowning,holy_matrimony_main,main_readings,psalm,Psalm 19:5; Psalm 128:3,Ps 19:5; Psalm 128:3,Ps 19:5,The Holy Matrimony Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Wedding_Ceremony.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (18) 19:5 and Psalm (127) 128:3 in the rite book.,special_service
wedding_crowning,holy_matrimony_main,main_readings,psalm,Psalm 19:5; Psalm 128:3,Ps 19:5; Psalm 128:3,Ps 128:3,The Holy Matrimony Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Wedding_Ceremony.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (18) 19:5 and Psalm (127) 128:3 in the rite book.,special_service
wedding_crowning,holy_matrimony_main,main_readings,gospel,Matthew 19:1-6,Matt 19:1-6,Matt 19:1-6,The Holy Matrimony Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Wedding_Ceremony.pdf,https://saintbishoy.ca/service-books/,Main crowning rite Gospel reading.,special_service
baptism,mother_absolution_male_child,part_1,pauline,Hebrews 1:8-12,Heb 1:8-12,Heb 1:8-12,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a male child.,special_service
baptism,mother_absolution_male_child,part_1,psalm,Psalm 32:1-2,Ps 32:1-2,Ps 32:1-2,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm 31 in LXX numbering.,special_service
baptism,mother_absolution_male_child,part_1,gospel,Luke 2:21-35,Lk 2:21-35,Lk 2:21-35,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a male child.,special_service
baptism,mother_absolution_female_child,part_2,pauline,1 Corinthians 7:12-14,1Cor 7:12-14,1Cor 7:12-14,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a female child.,special_service
baptism,mother_absolution_female_child,part_2,psalm,Psalm 45:9; Psalm 45:13,Ps 45:9; Psalm 45:13,Ps 45:9,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm 44:12 in the Arabic line plus 45:9,13 in English/Coptic formatting; preserve the two verse references explicitly.",special_service
baptism,mother_absolution_female_child,part_2,psalm,Psalm 45:9; Psalm 45:13,Ps 45:9; Psalm 45:13,Ps 45:13,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm 44:12 in the Arabic line plus 45:9,13 in English/Coptic formatting; preserve the two verse references explicitly.",special_service
baptism,mother_absolution_female_child,part_2,gospel,Luke 10:38-42,Lk 10:38-42,Lk 10:38-42,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a female child.,special_service
baptism,sanctification_of_baptismal_water,part_3,pauline,Titus 2:11-3:7,Titus 2:11-3:7,Titus 2:11-3:7,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,special_service
baptism,sanctification_of_baptismal_water,part_3,catholic,1 John 5:5-20,1Jn 5:5-20,1Jn 5:5-20,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,special_service
baptism,sanctification_of_baptismal_water,part_3,acts,Acts 8:26-39,Acts 8:26-39,Acts 8:26-39,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,special_service
baptism,sanctification_of_baptismal_water,part_3,psalm,Psalm 32:1-2,Ps 32:1-2,Ps 32:1-2,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm 31 in LXX numbering.,special_service
baptism,sanctification_of_baptismal_water,part_3,gospel,John 3:1-21,Jn 3:1-21,Jn 3:1-21,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,special_service
unction_of_the_sick,first_prayer,first_prayer,catholic,James 5:10-20,James 5:10-20,James 5:10-20,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,First prayer uses Catholic Epistle rather than Pauline.,special_service
