service_family,service_variant,section,reading_type,raw_ref,source_title,source_url,source_page,notes,canonical_ref
wedding_crowning,holy_matrimony_main,main_readings,pauline,Ephesians 5:22-6:3,The Holy Matrimony Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Wedding_Ceremony.pdf,https://saintbishoy.ca/service-books/,Main crowning rite Pauline reading.,Eph 5:22-6:3
wedding_crowning,holy_matrimony_main,main_readings,psalm,Psalm 19:5; Psalm 128:3,The Holy Matrimony Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Wedding_Ceremony.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (18) 19:5 and Psalm (127) 128:3 in the rite book.,Ps 19:5; Psalm 128:3
wedding_crowning,holy_matrimony_main,main_readings,gospel,Matthew 19:1-6,The Holy Matrimony Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Wedding_Ceremony.pdf,https://saintbishoy.ca/service-books/,Main crowning rite Gospel reading.,Matt 19:1-6
baptism,mother_absolution_male_child,part_1,pauline,Hebrews 1:8-12,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a male child.,Heb 1:8-12
baptism,mother_absolution_male_child,part_1,psalm,Psalm 32:1-2,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm 31 in LXX numbering.,Ps 32:1-2
baptism,mother_absolution_male_child,part_1,gospel,Luke 2:21-35,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a male child.,Lk 2:21-35
baptism,mother_absolution_female_child,part_2,pauline,1 Corinthians 7:12-14,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a female child.,1Cor 7:12-14
baptism,mother_absolution_female_child,part_2,psalm,Psalm 45:9; Psalm 45:13,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,"Printed as Psalm 44:12 in the Arabic line plus 45:9,13 in English/Coptic formatting; preserve the two verse references explicitly.",Ps 45:9; Psalm 45:13
baptism,mother_absolution_female_child,part_2,gospel,Luke 10:38-42,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Absolution for the woman if she bore a female child.,Lk 10:38-42
baptism,sanctification_of_baptismal_water,part_3,pauline,Titus 2:11-3:7,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,Titus 2:11-3:7
baptism,sanctification_of_baptismal_water,part_3,catholic,1 John 5:5-20,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,1Jn 5:5-20
baptism,sanctification_of_baptismal_water,part_3,acts,Acts 8:26-39,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,Acts 8:26-39
baptism,sanctification_of_baptismal_water,part_3,psalm,Psalm 32:1-2,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm 31 in LXX numbering.,Ps 32:1-2
baptism,sanctification_of_baptismal_water,part_3,gospel,John 3:1-21,Baptism and Chrismation Rite,https://saintbishoy.ca/wp-content/uploads/Rites_Baptism.pdf,https://saintbishoy.ca/service-books/,Main baptismal-water sanctification readings.,Jn 3:1-21
unction_of_the_sick,first_prayer,first_prayer,catholic,James 5:10-20,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,First prayer uses Catholic Epistle rather than Pauline.,James 5:10-20
unction_of_the_sick,first_prayer,first_prayer,psalm,Psalm 6:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,First prayer Psalm.,Ps 6:1-2
unction_of_the_sick,first_prayer,first_prayer,gospel,John 5:1-17,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,First prayer Gospel.,Jn 5:1-17
unction_of_the_sick,second_prayer,second_prayer,pauline,Romans 15:1-7,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Second prayer Pauline.,Rom 15:1-7
unction_of_the_sick,second_prayer,second_prayer,psalm,Psalm 102:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalms (101) 102:1-2.,Ps 102:1-2
unction_of_the_sick,second_prayer,second_prayer,gospel,Luke 19:1-10,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Second prayer Gospel.,Lk 19:1-10
unction_of_the_sick,third_prayer,third_prayer,pauline,1 Corinthians 12:28-13:8,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Third prayer Pauline.,1Cor 12:28-13:8
unction_of_the_sick,third_prayer,third_prayer,psalm,Psalm 38:1-2,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Printed as Psalm (37) 38:1-2.,Ps 38:1-2
unction_of_the_sick,third_prayer,third_prayer,gospel,Matthew 10:1-8,The Unction of the Sick,https://saintbishoy.ca/wp-content/uploads/Rites_Unction_of_Sick.pdf,https://saintbishoy.ca/service-books/,Third prayer Gospel.,Matt 10:1-8
