collection_key,sequence,coptic_month,coptic_day,coptic_day_key,calendar_key,toc_label,reading_section_start_page,source_key,source_title,source_edition,source_url,source_locator,membership_status,membership_verdict,membership_basis,verification_status
foundational-01-tut-01,1,Tut,1,Tut 1,Tut 1,1 Tut,37,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-02-tut-02,2,Tut,2,Tut 2,Tut 2,2 Tut,47,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 47",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-03-tut-08,3,Tut,8,Tut 8,Tut 8,8 Tut,55,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 55",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-04-tut-16,4,Tut,16,Tut 16,Tut 16,16 Tut,64,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 64",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-05-tut-17,5,Tut,17,Tut 17,Tut 17,17 Tut,72,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 72",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-06-tut-18,6,Tut,18,Tut 18,Tut 18,18 Tut,81,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 81",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-07-tut-19,7,Tut,19,Tut 19,Tut 19,19 Tut,88,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 88",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-08-tut-21,8,Tut,21,Tut 21,Tut 21,21 Tut,96,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 96",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-09-tut-26,9,Tut,26,Tut 26,Tut 26,26 Tut,102,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 102",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-10-babah-12,10,Babah,12,Babah 12,Babah 12,12 Babah,111,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 111",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-11-babah-14,11,Babah,14,Babah 14,Babah 14,14 Babah,118,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 118",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
foundational-12-babah-22,12,Babah,22,Babah 22,Babah 22,22 Babah,127,st_mary_ottawa_days,"St. Mary Ottawa / UKMID, Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,"TOC dated reading section, PDF pages 23 to 26; section begins on printed page 127",confirmed_same_practical_second_volume_collection,CONFIRMED_SAME_SET,"Inferred from source identity, volume two placement, annual mapping function, commemoration categories, and count. The consulted Youssef page gives the concept, count, Arabic name, Synaxarium function, and second-volume placement, not the date-by-date roster.",read_from_ottawa_toc_inferred_same_set_from_step1_audit
