affected_passage_or_passages,occasion_service_hour_slot,change_type,before_value,after_value,commit_hash,phase,basis_or_source
"Prov 4:4-27,5:1-4",compressed_placement_count=1; samples=Great Thursday | Third Hour,added,compressed_row_count=1,"compressed_row_count=1; samples=row_sha256=2ef2c3f32db20cae; identity_key=rid_848c8fc9d17938a036f1; display_ref=Prov 4:4-27,5:1-4",03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/pascha_attestation.csv; samples=out/design/pascha_attestation.csv
"Prov 4:4-27,5:1-4",compressed_placement_count=1; samples=Wednesday | Third Hour,removed_marked_historical,"compressed_row_count=1; samples=row_sha256=61761a4f536f5a45; identity_key=rid_848c8fc9d17938a036f1; display_ref=Prov 4:4-27,5:1-4; removed_marker=(removed, attested St. Mary Ottawa Holy Pasch...","compressed_row_count=1; samples=row_sha256=9bc097acd62d9d57; identity_key=rid_848c8fc9d17938a036f1; display_ref=Prov 4:4-27,5:1-4; removed_marker=(removed, attested St. Mary Ottawa Holy Pasch...",03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/pascha_attestation.csv; samples=out/design/pascha_attestation.csv
Prov 4:4-5:4,compressed_placement_count=2; samples=Great Thursday | Third Hour || Wednesday | Third Hour,deduped,compressed_row_count=2; samples=row_sha256=3d8047e648636909; identity_key=rid_859beff232d60f9a1c69; display_ref=Prov 4:4-5:4,compressed_row_count=2,03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/pascha_attestation.csv; samples=out/design/pascha_attestation.csv
,compressed_placement_count=1,deduped,compressed_row_count=1; samples=row_sha256=9db1780050ac4075,compressed_row_count=1; samples=row_sha256=59ae8d30a48234e5,03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/pascha_attestation_bucket_manifest.csv; samples=out/design/pascha_attestation_bucket_manifest.csv
"Prov 4:4-27,5:1-4",compressed_placement_count=1,deduped,"compressed_row_count=1; samples=row_sha256=254ec2ce254dd9e3; identity_key=rid_848c8fc9d17938a036f1; display_ref=Prov 4:4-27,5:1-4","compressed_row_count=1; samples=row_sha256=e2e71fcae61439da; identity_key=rid_848c8fc9d17938a036f1; display_ref=Prov 4:4-27,5:1-4",03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/passage_liturgical_footprint.csv; samples=out/design/passage_liturgical_footprint.csv
Prov 4:4-5:4,compressed_placement_count=1,deduped,compressed_row_count=1; samples=row_sha256=24223404f7652dc8; identity_key=rid_859beff232d60f9a1c69; display_ref=Prov 4:4-5:4,compressed_row_count=1,03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/passage_liturgical_footprint.csv; samples=out/design/passage_liturgical_footprint.csv
"Prov 4:4-27,5:1-4",compressed_placement_count=1; samples=Great Thursday | Great Thursday | Third Hour | Third Hour | OT4,added,compressed_row_count=1,"compressed_row_count=1; samples=row_sha256=2d059c360d877fb1; identity_key=rid_848c8fc9d17938a036f1; display_ref=Prov 4:4-27,5:1-4; source_key=katameros_api_sqlite; current_status=current_working_source_not_cop...",03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/passage_source_disclosure.csv; samples=out/design/passage_source_disclosure.csv; source_key=katameros_api_sqlite; current_status=current_working_source_not_coptic_rea...
"Prov 4:4-27,5:1-4",compressed_placement_count=1; samples=Wednesday | Wednesday | Third Hour | Third Hour | OT3,removed_marked_historical,compressed_row_count=1,"compressed_row_count=1; samples=row_sha256=5fb3f2e07cf4abe7; identity_key=rid_848c8fc9d17938a036f1; display_ref=Prov 4:4-27,5:1-4; source_key=katameros_api_sqlite; current_status=historical_candidate_removed; ...",03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/passage_source_disclosure.csv; samples=out/design/passage_source_disclosure.csv; source_key=katameros_api_sqlite; current_status=historical_candidate_removed
Prov 4:4-5:4,compressed_placement_count=2; samples=Wednesday | Wednesday | Third Hour | Third Hour | OT3 || Great Thursday | Great Thursday | Third Hour | Third Hour | OT4,deduped,compressed_row_count=2; samples=row_sha256=c84c4b58e5fb882e; identity_key=rid_859beff232d60f9a1c69; display_ref=Prov 4:4-5:4; source_key=katameros_api_sqlite; current_status=historical_candidate_removed; remov...,compressed_row_count=2,03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/passage_source_disclosure.csv; samples=out/design/passage_source_disclosure.csv; source_key=katameros_api_sqlite; current_status=historical_candidate_removed
Prov 4:4-5:4,compressed_placement_count=1,deduped,compressed_row_count=1; samples=row_sha256=171e6a5dcfba13d8; identity_key=rid_859beff232d60f9a1c69; display_ref=Prov 4:4-5:4,compressed_row_count=1,03fb9973773466820ab54878d42d36977f75e00d,Phase 4/7,out/design/reading_identity.csv; samples=out/design/reading_identity.csv
