day_title,service_hour,identity_key,display_ref,source_count,sources,source_titles,source_editions,source_locators,bucket,statuses,removed_marker,citation,attestation_note
Bright Saturday,Liturgy,rid_1fb56932cb611c57ea6a,"Ps 3:5,3:3",1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=162 | source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Bright Saturday,Liturgy,rid_510ef64cea70eb604bf0,1Cor 15:1-22,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 159; source_ref=1Cor 15:1-22,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 159; source_ref=1Cor 15:1-22 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=159 | source_ref=1Cor 15:1-22 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Bright Saturday,Liturgy,rid_5312571ad2ea75579e4e,Acts 3:12-21,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 161; source_ref=Acts 3:12-21,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 161; source_ref=Acts 3:12-21 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=161 | source_ref=Acts 3:12-21 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Bright Saturday,Liturgy,rid_58f31273e478759fa7af,Matt 28:1-20,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=162 | source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Bright Saturday,Liturgy,rid_be832a860aaa1ccbd7b0,1Pet 1:1-9,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 160; source_ref=1Pet 1:1-9,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 160; source_ref=1Pet 1:1-9 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=160 | source_ref=1Pet 1:1-9 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Bright Saturday,Liturgy,rid_c6e5abb3b44d8783f05f,Ps 82:8 (LXX Ps 81:8),1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=162 | source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_03c7cc8a3526febd5e66,"Ps 143:6,143:7,31:5 (LXX Ps 142:6; Ps 142:7; Ps 30:5)",1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text","out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16321; source_ref=Ps 143:6,143:7,31:5",old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16321; source_ref=Ps 143:6,143:7,31:5 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=16321 | source_ref=Ps 143:6,143:7,31:5 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:16321",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Good Friday,Eleventh Hour,rid_0946df3427160b8ebe38,Jer 12:1-14,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 153; source_ref=Jer 12:1-14,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 153; source_ref=Jer 12:1-14 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=153 | source_ref=Jer 12:1-14 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_097e29504a6631f99f85,Gal 3:1-6,1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16278; source_ref=Gal 3:1-6,old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16278; source_ref=Gal 3:1-6 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=16278 | source_ref=Gal 3:1-6 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:16278",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Good Friday,Eleventh Hour,rid_2d11e348ed0fff139cbc,Matt 27:51-56,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=155 | source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_2f2ca45446d156914dd8,Isa 3:5-12,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 154; source_ref=Isa 3:5-12,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 154; source_ref=Isa 3:5-12 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=154 | source_ref=Isa 3:5-12 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_355c550ac44ac9c37fd4,Lk 23:47-49,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=155 | source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_35684aad2907eda3d30b,Mark 15:38-41,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=155 | source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_5e749b252589833af6cb,Jn 19:31-37,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=155 | source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_a971392ddfbc3a0f06b3,Lev 23:5-12,1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16231; source_ref=Lev 23:5-12,old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16231; source_ref=Lev 23:5-12 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=16231 | source_ref=Lev 23:5-12 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:16231",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Good Friday,Eleventh Hour,rid_b645bce981a16ea01931,Ps 31:5 (LXX Ps 30:5),1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=155 | source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,Eleventh Hour,rid_dd697f19c7c258dea773,Exod 12:1-14,1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16178; source_ref=Exod 12:1-14,old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16178; source_ref=Exod 12:1-14 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=16178 | source_ref=Exod 12:1-14 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:16178",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Good Friday,Eleventh Hour,rid_eda2bc7022e1317000cb,"Ps 143:6,143:7 (LXX Ps 142:6; Ps 142:7)",1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=155 | source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,First Hour,rid_0081650c21f311321b1f,Deut 8:19-9:24,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 124; source_ref=Deut 8:19-9:24,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 124; source_ref=Deut 8:19-9:24 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=124 | source_ref=Deut 8:19-9:24 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,First Hour,rid_0e4e43f572c6fd382090,Jn 18:28-40,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 134; source_ref=Ps 27:12; Ps 35:11,12,16; Matt 27:1-14; Mark 15:1-5; Luke 22:66-23:12; John 18:28-40",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 134; source_ref=Ps 27:12; Ps 35:11,12,16; Matt 27:1-14; Mark 15:1-5; Luke 22:66-23:12; John 18:28-40 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=134 | source_ref=Ps 27:12; Ps 35:11,12,16; Matt 27:1-14; Mark 15:1-5; Luke 22:66-23:12; John 18:28-40 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Good Friday,First Hour,rid_11319a9f8727e21ccf58,"Ps 27:12,35:11,35:12,35:16 (LXX Ps 26:12; Ps 34:11; Ps 34:12; Ps 34:16)",1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text","out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 14158; source_ref=Ps 27:12,35:11,35:12,35:16",old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 14158; source_ref=Ps 27:12,35:11,35:12,35:16 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=14158 | source_ref=Ps 27:12,35:11,35:12,35:16 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:14158",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
