identity_key,display_ref,canonical_mt_ref,canonical_lxx_ref,total_occurrences,current_occurrences,historical_occurrences,source_kinds,sample_liturgical_places,hour_themes,patristic_homily_slug,chapter_study_slug,audio_slug,site_note
rid_a957214de809fb6c875f,LXX Ps 41:1 (MT equivalent pending),,Ps 41:1,1,1,0,coptic_reader_fixture,Wednesday | Third Hour | psalm,the descent of the Holy Spirit and the trial of the heart,,,,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_c31cd01a2624fa13620d,1Chr 29:10-13,1Chr 29:10-13,1Chr 29:10-13,1,1,0,bright_saturday_service_order,Bright Saturday | Midnight Praises | Prayer of David,,,1chr-29,1chr-29,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f72fd6622211f0669570,1Cor 10:1-13,1Cor 10:1-13,1Cor 10:1-13,18,18,0,copticchurch_date; katameros_cycle; special_service,Friday of the sixth week of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-10,1cor-10,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f3ad0137d2cc8b9a757c,1Cor 10:14-11:1,1Cor 10:14-11:1,1Cor 10:14-11:1,15,15,0,copticchurch_date,Thursday of the fifth week of Great Lent | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-10,1cor-10,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_5a50638a444324892993,1Cor 10:14-33,1Cor 10:14-33,1Cor 10:14-33,1,1,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-10,1cor-10,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_4e11f77bd111d515b22e,1Cor 10:25-11:1,1Cor 10:25-11:1,1Cor 10:25-11:1,14,14,0,copticchurch_date,Mesra 29 | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-10,1cor-10,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_d5c6b4ed8367a4bcb035,1Cor 10:25-32,1Cor 10:25-32,1Cor 10:25-32,1,1,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-10,1cor-10,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_ba68661deadf64018e16,1Cor 11:1,1Cor 11:1,1Cor 11:1,2,2,0,katameros_cycle,liturgy_pauline | liturgy_pauline,,,1cor-11,1cor-11,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_c3d717a36e1c02bc8675,1Cor 11:2-16,1Cor 11:2-16,1Cor 11:2-16,17,17,0,copticchurch_date; katameros_cycle,Friday of the sixth week of the holy fifty days | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-11,1cor-11,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_050475f781f932c674c6,1Cor 11:23-34,1Cor 11:23-34,1Cor 11:23-34,1,0,1,pascha_source_text,the Covenant Thursday | Liturgy | Pauline,the Eucharistic gathering of the Church,,1cor-11,1cor-11,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_5fa4e81d52e23be6f2b5,1Cor 12:1-31,1Cor 12:1-31,1Cor 12:1-31,17,17,0,copticchurch_date; katameros_cycle,Pentecost | Liturgy | Pauline Epistle,the Eucharistic gathering of the Church,,1cor-12,1cor-12,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
rid_f2d4b37700ebd0305b6f,1Cor 12:28-13:8,1Cor 12:28-13:8,1Cor 12:28-13:8,1,1,0,special_service,unction_of_the_sick | third_prayer | third_prayer,,,1cor-12,1cor-12,Patristic homily linkage is not present in this repo and must be joined from the site corpus when George pushes.
