identity_key,reading_type,reading_name,source_label,display_ref,canonical_mt_ref,canonical_lxx_ref,source_convention,canonicalization_confidence,canonicalization_note,spans_json
rid_c31cd01a2624fa13620d,scripture,,1Chr 29:10-13,1Chr 29:10-13,1Chr 29:10-13,1Chr 29:10-13,modern_english_reference,high,,"[{""book"": ""1Chr"", ""canonical_lxx_ref"": ""1Chr 29:10-13"", ""canonical_mt_ref"": ""1Chr 29:10-13"", ""chapter_end"": 29, ""chapter_start"": 29, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Chr 29:10-13"", ""validation_basis"": """", ""verse_end"": 13, ""verse_start"": 10}]"
rid_f72fd6622211f0669570,scripture,,1Cor 10:1-13,1Cor 10:1-13,1Cor 10:1-13,1Cor 10:1-13,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 10:1-13"", ""canonical_mt_ref"": ""1Cor 10:1-13"", ""chapter_end"": 10, ""chapter_start"": 10, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 10:1-13"", ""validation_basis"": """", ""verse_end"": 13, ""verse_start"": 1}]"
rid_f3ad0137d2cc8b9a757c,scripture,,1Cor 10:14-11:1,1Cor 10:14-11:1,1Cor 10:14-11:1,1Cor 10:14-11:1,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 10:14-11:1"", ""canonical_mt_ref"": ""1Cor 10:14-11:1"", ""chapter_end"": 11, ""chapter_start"": 10, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 10:14-11:1"", ""validation_basis"": """", ""verse_end"": 1, ""verse_start"": 14}]"
rid_5a50638a444324892993,scripture,,1Cor 10:14-33,1Cor 10:14-33,1Cor 10:14-33,1Cor 10:14-33,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 10:14-33"", ""canonical_mt_ref"": ""1Cor 10:14-33"", ""chapter_end"": 10, ""chapter_start"": 10, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 10:14-33"", ""validation_basis"": """", ""verse_end"": 33, ""verse_start"": 14}]"
rid_4e11f77bd111d515b22e,scripture,,1Cor 10:25-11:1,1Cor 10:25-11:1,1Cor 10:25-11:1,1Cor 10:25-11:1,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 10:25-11:1"", ""canonical_mt_ref"": ""1Cor 10:25-11:1"", ""chapter_end"": 11, ""chapter_start"": 10, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 10:25-11:1"", ""validation_basis"": """", ""verse_end"": 1, ""verse_start"": 25}]"
rid_d5c6b4ed8367a4bcb035,scripture,,1Cor 10:25-32,1Cor 10:25-32,1Cor 10:25-32,1Cor 10:25-32,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 10:25-32"", ""canonical_mt_ref"": ""1Cor 10:25-32"", ""chapter_end"": 10, ""chapter_start"": 10, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 10:25-32"", ""validation_basis"": """", ""verse_end"": 32, ""verse_start"": 25}]"
rid_ba68661deadf64018e16,scripture,,1Cor 11:1,1Cor 11:1,1Cor 11:1,1Cor 11:1,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 11:1"", ""canonical_mt_ref"": ""1Cor 11:1"", ""chapter_end"": 11, ""chapter_start"": 11, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 11:1"", ""validation_basis"": """", ""verse_end"": 1, ""verse_start"": 1}]"
rid_c3d717a36e1c02bc8675,scripture,,1Cor 11:2-16,1Cor 11:2-16,1Cor 11:2-16,1Cor 11:2-16,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 11:2-16"", ""canonical_mt_ref"": ""1Cor 11:2-16"", ""chapter_end"": 11, ""chapter_start"": 11, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 11:2-16"", ""validation_basis"": """", ""verse_end"": 16, ""verse_start"": 2}]"
rid_050475f781f932c674c6,scripture,,1Cor 11:23-34,1Cor 11:23-34,1Cor 11:23-34,1Cor 11:23-34,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 11:23-34"", ""canonical_mt_ref"": ""1Cor 11:23-34"", ""chapter_end"": 11, ""chapter_start"": 11, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 11:23-34"", ""validation_basis"": """", ""verse_end"": 34, ""verse_start"": 23}]"
rid_5fa4e81d52e23be6f2b5,scripture,,1Cor 12:1-31,1Cor 12:1-31,1Cor 12:1-31,1Cor 12:1-31,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 12:1-31"", ""canonical_mt_ref"": ""1Cor 12:1-31"", ""chapter_end"": 12, ""chapter_start"": 12, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 12:1-31"", ""validation_basis"": """", ""verse_end"": 31, ""verse_start"": 1}]"
