day_title,service_hour,identity_key,display_ref,lifecycle_status,current_status,removed_marker,source_authority_tier,source_titles,source_editions,source_locators,attestation_bucket,current_authority,valid_from,valid_to,derivation,attesting_sources
Bright Saturday,Liturgy,rid_510ef64cea70eb604bf0,1Cor 15:1-22,candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 159; source_ref=1Cor 15:1-22,single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Bright Saturday,Liturgy,rid_5312571ad2ea75579e4e,Acts 3:12-21,candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 161; source_ref=Acts 3:12-21,single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Bright Saturday,Liturgy,rid_58f31273e478759fa7af,Matt 28:1-20,candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20",single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Bright Saturday,Liturgy,rid_6c9303917ae652573ee4,"Ps 3:3,3:5",candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20",single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Bright Saturday,Liturgy,rid_be832a860aaa1ccbd7b0,1Pet 1:1-9,candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 160; source_ref=1Pet 1:1-9,single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Bright Saturday,Liturgy,rid_c6e5abb3b44d8783f05f,Ps 82:8 (LXX Ps 81:8),candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 162; source_ref=Ps 3:5,3; Ps 82:8; Matt 28:1-20",single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Good Friday,Eleventh Hour,rid_0946df3427160b8ebe38,Jer 12:1-14,candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 153; source_ref=Jer 12:1-14,single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Good Friday,Eleventh Hour,rid_097e29504a6631f99f85,Gal 3:1-6,historical_or_removed,historical_witness,,historical_printed_witness,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 16278; source_ref=Gal 3:1-6,old_edition_only,historical source is witness only,historical witness,before current Coptic Reader fixture where fixture applies,old_edition_only,st_mary_ottawa_pascha
Good Friday,Eleventh Hour,rid_2d11e348ed0fff139cbc,Matt 27:51-56,candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 155; source_ref=Ps 143:6,7; Ps 31:5; Matt 27:51-56; Mark 15:38-41; Luke 23:47-49; John 19:31-37",single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
Good Friday,Eleventh Hour,rid_2f2ca45446d156914dd8,Isa 3:5-12,candidate_current_pending_current_authority_check,current_working_source_not_coptic_reader_checked,,working_local_source,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 154; source_ref=Isa 3:5-12,single_source_candidate,no scoped current authority confirmation,undated,,single_source_candidate,katameros_api_sqlite
