identity_key,reading_type,reading_name,display_ref,canonical_mt_ref,canonical_lxx_ref,source_convention,canonicalization_confidence,canonicalization_note,spans_json,current_status,status_note,removed_marker,source_key,source_title,source_edition,source_locator,source_url,source_kind,source_family,source_file,source_row_id,authority_tier,occasion,calendar_key,gregorian_date,coptic_date,day_title,service_day,service_hour,service_section,reading_slot,slot,order,hour_theme,source_ref,raw_ref,url,provenance
rid_46fe0b240edbe15252f4,scripture,,1Cor 9:1-27,1Cor 9:1-27,1Cor 9:1-27,modern_english_reference,high,,"[{""book"": ""1Cor"", ""canonical_lxx_ref"": ""1Cor 9:1-27"", ""canonical_mt_ref"": ""1Cor 9:1-27"", ""chapter_end"": 9, ""chapter_start"": 9, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Cor 9:1-27"", ""validation_basis"": """", ""verse_end"": 27, ""verse_start"": 1}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24077; source_ref=1Cor 9:1-27,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24077,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Liturgy,,Pauline Epistle,24077,the Eucharistic gathering of the Church,1Cor 9:1-27,1Cor 9:1-27,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_dd37e70de482647d865e,scripture,,1Pet 1:1-12,1Pet 1:1-12,1Pet 1:1-12,modern_english_reference,high,,"[{""book"": ""1Pet"", ""canonical_lxx_ref"": ""1Pet 1:1-12"", ""canonical_mt_ref"": ""1Pet 1:1-12"", ""chapter_end"": 1, ""chapter_start"": 1, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""1Pet 1:1-12"", ""validation_basis"": """", ""verse_end"": 12, ""verse_start"": 1}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24075; source_ref=1Pet 1:1-12,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24075,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Liturgy,,Catholic Epistle,24075,the Eucharistic gathering of the Church,1Pet 1:1-12,1Pet 1:1-12,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_61f9b02e9ea9caa27698,scripture,,Acts 5:12-21,Acts 5:12-21,Acts 5:12-21,modern_english_reference,high,,"[{""book"": ""Acts"", ""canonical_lxx_ref"": ""Acts 5:12-21"", ""canonical_mt_ref"": ""Acts 5:12-21"", ""chapter_end"": 5, ""chapter_start"": 5, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""Acts 5:12-21"", ""validation_basis"": """", ""verse_end"": 21, ""verse_start"": 12}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24074; source_ref=Acts 5:12-21,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24074,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Liturgy,,Acts of the Apostles,24074,the Eucharistic gathering of the Church,Acts 5:12-21,Acts 5:12-21,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_3de258c188865885d6f4,scripture,,Lk 10:1-20,Lk 10:1-20,Lk 10:1-20,modern_english_reference,high,,"[{""book"": ""Lk"", ""canonical_lxx_ref"": ""Lk 10:1-20"", ""canonical_mt_ref"": ""Lk 10:1-20"", ""chapter_end"": 10, ""chapter_start"": 10, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""Lk 10:1-20"", ""validation_basis"": """", ""verse_end"": 20, ""verse_start"": 1}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24076; source_ref=Lk 10:1-20,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24076,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Liturgy,,Gospel,24076,the Eucharistic gathering of the Church,Lk 10:1-20,Lk 10:1-20,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_2c3227d9d1cd63f0a48a,scripture,,Lk 9:1-6,Lk 9:1-6,Lk 9:1-6,modern_english_reference,high,,"[{""book"": ""Lk"", ""canonical_lxx_ref"": ""Lk 9:1-6"", ""canonical_mt_ref"": ""Lk 9:1-6"", ""chapter_end"": 9, ""chapter_start"": 9, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""Lk 9:1-6"", ""validation_basis"": """", ""verse_end"": 6, ""verse_start"": 1}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24082; source_ref=Lk 9:1-6,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24082,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Vespers,,Gospel,24082,evening thanksgiving and watchfulness,Lk 9:1-6,Lk 9:1-6,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_58f31273e478759fa7af,scripture,,Matt 28:1-20,Matt 28:1-20,Matt 28:1-20,modern_english_reference,high,,"[{""book"": ""Matt"", ""canonical_lxx_ref"": ""Matt 28:1-20"", ""canonical_mt_ref"": ""Matt 28:1-20"", ""chapter_end"": 28, ""chapter_start"": 28, ""confidence"": ""high"", ""source_convention"": ""modern_english_reference"", ""source_ref"": ""Matt 28:1-20"", ""validation_basis"": """", ""verse_end"": 20, ""verse_start"": 1}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24079; source_ref=Matt 28:1-20,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24079,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Matins,,Gospel,24079,awakening to praise and repentance,Matt 28:1-20,Mt 28:1-20,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_0928cf7d0074ef1b2140,scripture,,"Ps 20:6,20:9 (LXX Ps 19:6; Ps 19:9)","Ps 20:6,20:9",Ps 19:6; Ps 19:9,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 19:6; Ps 19:9"", ""canonical_mt_ref"": ""Ps 20:6,20:9"", ""chapter_end"": 20, ""chapter_start"": 20, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 20:6,20:9"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 6, ""verse_start"": 6}, {""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 19:6; Ps 19:9"", ""canonical_mt_ref"": ""Ps 20:6,20:9"", ""chapter_end"": 20, ""chapter_start"": 20, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 20:6,20:9"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 9, ""verse_start"": 9}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,"https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24083; source_ref=Ps 20:6,20:9",https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24083,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Vespers,,Psalm,24083,evening thanksgiving and watchfulness,"Ps 20:6,20:9","Psalm 20:6,9",https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_e585bebabe8f4a24e837,scripture,,Ps 31:19 (LXX Ps 30:19),Ps 31:19,Ps 30:19,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 30:19"", ""canonical_mt_ref"": ""Ps 31:19"", ""chapter_end"": 31, ""chapter_start"": 31, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 31:19"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 19, ""verse_start"": 19}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24081; source_ref=Ps 31:19,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24081,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Matins,,Psalm,24081,awakening to praise and repentance,Ps 31:19,Psalm 31:23  &  Psalm 31:19,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_422fbfe3ce63e66b1d75,scripture,,Ps 31:23 (LXX Ps 30:23),Ps 31:23,Ps 30:23,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 30:23"", ""canonical_mt_ref"": ""Ps 31:23"", ""chapter_end"": 31, ""chapter_start"": 31, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 31:23"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 23, ""verse_start"": 23}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24080; source_ref=Ps 31:23,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24080,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Matins,,Psalm,24080,awakening to praise and repentance,Ps 31:23,Psalm 31:23  &  Psalm 31:19,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
rid_89a4c1abb65fc60c00f3,scripture,,Ps 89:7 (LXX Ps 88:7),Ps 89:7,Ps 88:7,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 88:7"", ""canonical_mt_ref"": ""Ps 89:7"", ""chapter_end"": 89, ""chapter_start"": 89, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 89:7"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 7, ""verse_start"": 7}]",current_public_or_local_reference,Current working reference in George's local package.,,copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12; cache/copticchurch_html:row 24078; source_ref=Ps 89:7,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch_date,ordinary_date_resolved,cache/copticchurch_html,24078,public_current_practice_reference,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),2026-07-12,1742-11-05,The first Sunday of Abib (Apostle's Feast),The first Sunday of Abib (Apostle's Feast),,Liturgy,,Psalm,24078,the Eucharistic gathering of the Church,Ps 89:7,Psalm 89:7,https://copticchurch.net/readings?g_year=2026&g_month=07&g_day=12,copticchurch.net daily scrape
