book,chapter,affected_passage,change_count,change_types,commits
Genesis,1,Gen 1:1-2:3,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,1,Gen 1:1-31,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,2,Gen 2:1-3,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,2,Gen 2:15-25,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,2,Gen 2:15-3:24,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,3,Gen 3:1-24,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,6,Gen 6:5-9:7,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,14,Gen 14:17-20,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,18,Gen 18:1-23,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,18,Gen 18:17-33,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,19,Gen 19:1-29,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,22,Gen 22:1-18,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,22,Gen 22:1-19,19,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,23,Gen 23:1-20,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,24,Gen 24:1-67,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,24,Gen 24:1-9,16,added; other; provenance_added; removed_marked_historical,04cc512; 2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,27,Gen 27:1-41,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,28,Gen 28:10-22,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,28,Gen 28:10-31,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
Genesis,32,Gen 32:1-30,10,added; other; provenance_added; removed_marked_historical,2622ee2; 440001d; 6a15663; 6c0cb65; f79cbbc
