mt_psalm,lxx_psalm,map_direction,mapping_scope,confidence,validation_basis,note
1,1,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
2,2,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
3,3,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
4,4,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
5,5,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
6,6,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
7,7,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
8,8,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
9,9,mt_to_lxx,chapter_equivalence,high,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter number is the same in MT and LXX. Verse numbering still needs text check for exact quotation work.
10,9,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
11,10,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
12,11,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
13,12,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
14,13,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
15,14,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
16,15,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
17,16,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
18,17,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
19,18,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
20,19,mt_to_lxx,split_merge_chapter_seam,high_chapter_medium_verse,Coptic lectionary design brief Section 7.2 plus phase2b Psalm numbering audit,Chapter seam is mapped. Verse offsets are not guessed by this table. Validate exact verses by Brenton text comparison.
