commem_id,coptic_day_key,commemoration_title,commemoration_type,reading_identity_key,display_ref,slot,basis,confidence,citation,note
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_d0773605571eaf6c33a8,1Jn 2:7-17,liturgy_catholic,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=7 | source_ref=1Jn 2:7-17",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_1cb21a9e546625f8b503,1Tim 1:12-19,liturgy_pauline,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=4533 | source_ref=1Tim 1:12-19",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_08986158a59ce1cfbbda,2Cor 5:11-21,liturgy_pauline,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=5 | source_ref=2Cor 5:11-21",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_eea897677e9237508193,2Cor 6:1-13,liturgy_pauline,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=6 | source_ref=2Cor 6:1-13",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_622315eb2aba076048ad,Acts 13:25-33,liturgy_acts,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=4535 | source_ref=Acts 13:25-33",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_8198692d8c2e8cad9f80,Acts 17:16-34,liturgy_acts,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=8 | source_ref=Acts 17:16-34",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_c1c72b89be8e8808ee92,James 1:22-27,liturgy_catholic,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=4534 | source_ref=James 1:22-27",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_2adc87da331a6ae1b9c5,Lk 4:14-30,liturgy_gospel,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=12 | source_ref=Lk 4:14-30",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_9c3906f711c59b5c5078,Lk 7:28-35,liturgy_gospel,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=4538 | source_ref=Lk 7:28-35",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
tut-01-01,Tut 1,Feast of El-Nayrouz (Beginning of the Blessed Coptic Year),feast,rid_99ae9cead59d3777cc7f,Mark 2:18-22,matins_gospel,explicit,high,"Ottawa/UKMID Katameros of the Days, first edition, Christmas 1714 A.M., 1998 A.D., TOC dated reading section, PDF pages 23 to 26; section begins on printed page 37; F.N. Youssef on the 69 foundational readings; St-Takla day index; local Katameros fixed-day row. source_file=sources/katameros-api/Core/KatamerosDatabase.db | source_row_id=4 | source_ref=Mark 2:18-22",Explicit bridge because this Coptic day is enumerated in the Ottawa/UKMID 69 foundational-reading collection. This catalogs source-row or variant catalog entries; it is not a resolved daily service schedule and not direct proper-reading proof for the named commemoration. Primary commemoration linked only; secondary commemorations require explicit proper-reading source before separate links are created.
