testament,book,chapter,matched_reading_ref,identity_key,occasion_id,occasion_short_label,season,service,hour,slot,status,attesting_edition
New Testament,1 Corinthians,10,1Cor 10:1-13,rid_f72fd6622211f0669570,friday-of-the-sixth-week-of-great-lent,Friday of the sixth week of Great Lent,Great Lent,Liturgy,,Pauline Epistle,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,1 Corinthians,10,1Cor 10:1-13,rid_f72fd6622211f0669570,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_pauline,,liturgy_pauline,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,1 Corinthians,10,1Cor 10:1-13,rid_f72fd6622211f0669570,liturgy-of-the-waters,liturgy_of_the_waters,Special service,main_readings,,main_readings,current_public_or_local_reference,local package snapshot
New Testament,1 Corinthians,10,1Cor 10:14-11:1,rid_f3ad0137d2cc8b9a757c,thursday-of-the-fifth-week-of-great-lent,Thursday of the fifth week of Great Lent,Great Lent,Liturgy,,Pauline Epistle,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,1 Corinthians,10,1Cor 10:14-33,rid_5a50638a444324892993,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_pauline,,liturgy_pauline,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,1 Corinthians,10,1Cor 10:25-11:1,rid_4e11f77bd111d515b22e,mesra-29,Mesra 29,Annual / fixed or ordinary cycle,Liturgy,,Pauline Epistle,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,1 Corinthians,10,1Cor 10:25-32,rid_d5c6b4ed8367a4bcb035,mesra-29-01,"The Martyrdom of Sts. Athanasius, the Bishop, Gerasimus (Jarasimus), and Theodotus",Annual / fixed or ordinary cycle,liturgy_pauline,,liturgy_pauline,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,1 Corinthians,11,1Cor 11:1,rid_ba68661deadf64018e16,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_pauline,,liturgy_pauline,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,1 Corinthians,11,1Cor 11:1,rid_ba68661deadf64018e16,mesra-29-01,"The Martyrdom of Sts. Athanasius, the Bishop, Gerasimus (Jarasimus), and Theodotus",Annual / fixed or ordinary cycle,liturgy_pauline,,liturgy_pauline,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,1 Corinthians,11,1Cor 11:2-16,rid_c3d717a36e1c02bc8675,friday-of-the-sixth-week-of-the-holy-fifty-days,Friday of the sixth week of the holy fifty days,Holy Fifty Days,Liturgy,,Pauline Epistle,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,1 Corinthians,11,1Cor 11:2-16,rid_c3d717a36e1c02bc8675,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_pauline,,liturgy_pauline,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,1 Corinthians,11,1Cor 11:23-34,rid_050475f781f932c674c6,the-covenant-thursday,the Covenant Thursday,Pascha / Holy Week,Liturgy,Liturgy,Pauline,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text"
New Testament,1 Corinthians,12,1Cor 12:1-31,rid_5fa4e81d52e23be6f2b5,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,Holy Fifty Days,liturgy_pauline,,liturgy_pauline,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
