study_slug,testament,book,chapter,study_passages,matched_reading_ref,identity_key,occasion_id,occasion_short_label,collection_type,season,service,hour,slot,bridge_basis,confidence,status,attesting_edition,hour_theme,homily_ref,occurrence_count_for_this_passage
1-chronicles-28-29-davids-final-charge-offering-prayer-and-solomons-accession,Old Testament,1 Chronicles,28,1 Chronicles 28; 1 Chronicles 29,1Chr 29:10-13,rid_c31cd01a2624fa13620d,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Prayer of David,missing,,current_public_or_local_reference,local package snapshot,,,1
1-kings-08-the-dedication-of-the-temple,Old Testament,1 Kings,8,1 Kings 8,1Kgs 8:22-30,rid_7f3d14172f64dd5abb0c,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Prayer of Solomon,missing,,current_public_or_local_reference,local package snapshot,,,1
1-kings-17-elijah-in-hiddenness,Old Testament,1 Kings,17,1 Kings 17,1Kgs 17:17-24,rid_9d623c53de5c1dd4a895,funeral,funeral,,Special service,at_burial_site,,at_burial_site,missing,,current_public_or_local_reference,local package snapshot,,,1
1-kings-17-elijah-in-hiddenness,Old Testament,1 Kings,17,1 Kings 17,1Kgs 17:2-24,rid_e158edeb5d7b5c96edcc,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-kings-19-elijah-in-despair-and-the-still-small-voice,Old Testament,1 Kings,19,1 Kings 19,1Kgs 19:9-14,rid_8d533cea2864b4615c79,tuesday,Tuesday,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,missing,,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text",the descent of the Holy Spirit and the trial of the heart,,1
1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,Old Testament,1 Samuel,1,1 Samuel 1; 1 Samuel 2,1Sam 2:1-11,rid_a70ed0e29b6ef0a8836b,praises-of-the-prophets,PRAISES OF THE PROPHETS,,Pascha / Holy Week,Midnight Praises,,Prayer of Hannah,missing,,current_public_or_local_reference,local package snapshot,,,1
1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,Old Testament,1 Samuel,1,1 Samuel 1; 1 Samuel 2,1Sam 2:1-21,rid_af800bdadca19e35c148,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,Old Testament,1 Samuel,1,1 Samuel 1; 1 Samuel 2,1Sam 1:1-28,rid_b473b92dc237d4b8fada,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-samuel-17-18-david-and-goliath-victory-and-jealousy,Old Testament,1 Samuel,17,1 Samuel 17; 1 Samuel 18,1Sam 18:6-9,rid_180a1761f988febbc467,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-samuel-17-18-david-and-goliath-victory-and-jealousy,Old Testament,1 Samuel,17,1 Samuel 17; 1 Samuel 18,1Sam 17:16-54,rid_321c491845175cc010c3,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-samuel-23-24-wilderness-discernment-and-mercy-toward-saul,Old Testament,1 Samuel,23,1 Samuel 23; 1 Samuel 24,1Sam 24:1-22,rid_13395ea4cdb09602919d,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-samuel-23-24-wilderness-discernment-and-mercy-toward-saul,Old Testament,1 Samuel,23,1 Samuel 23; 1 Samuel 24,1Sam 23:26-29,rid_9cb7a323de29dc78cfca,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-samuel-3-speak-lord-your-servant-hears,Old Testament,1 Samuel,3,1 Samuel 3,1Sam 3:1-20,rid_e93eb695d7af5f9da887,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
1-samuel-general-introduction,Old Testament,1 Samuel,1,1 Samuel,1Sam 1:1-28,rid_b473b92dc237d4b8fada,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
2-kings-04-elisha-s-miracles-of-life-and-provision,Old Testament,2 Kings,4,2 Kings 4,2Kgs 4:8-37,rid_8d90e963746337ff41aa,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
2-kings-05-naaman-the-syrian,Old Testament,2 Kings,5,2 Kings 5,2Kgs 5:1-27,rid_57d0213fed571fbad0c5,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
2-kings-06-07-spiritual-sight-siege-and-unexpected-deliverance,Old Testament,2 Kings,6,2 Kings 6; 2 Kings 7,2Kgs 6:8-33,rid_1e89752f953863e579ac,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
2-kings-06-07-spiritual-sight-siege-and-unexpected-deliverance,Old Testament,2 Kings,6,2 Kings 6; 2 Kings 7,2Kgs 7:1-20,rid_5a76a6fabd0f67abe84c,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,,Great Lent,prophecy,,prophecy,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,amshir-04-01,"The Martyrdom of St. Agabus, One of the Seventy Disciples",,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,collection-type,medium,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,11
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,amshir-04-01,"The Martyrdom of St. Agabus, One of the Seventy Disciples",,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,babah-22-01,The Martyrdom of Saint Luke the Evangelist,foundational-12-babah-22,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,explicit,high,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,13
