reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
missing or inferred bridge_basis,1-chronicles-28-29-davids-final-charge-offering-prayer-and-solomons-accession,rid_c31cd01a2624fa13620d,1Chr 29:10-13,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of David,out/data/bright_saturday_service_order.csv:row 16; source_ref=1 Chronicles 29:10-13
no source for link,1-chronicles-28-29-davids-final-charge-offering-prayer-and-solomons-accession,rid_c31cd01a2624fa13620d,1Chr 29:10-13,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of David,out/data/bright_saturday_service_order.csv:row 16; source_ref=1 Chronicles 29:10-13
missing or inferred bridge_basis,1-kings-08-the-dedication-of-the-temple,rid_7f3d14172f64dd5abb0c,1Kgs 8:22-30,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Solomon,out/data/bright_saturday_service_order.csv:row 17; source_ref=1 Kings 8:22-30
no source for link,1-kings-08-the-dedication-of-the-temple,rid_7f3d14172f64dd5abb0c,1Kgs 8:22-30,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Solomon,out/data/bright_saturday_service_order.csv:row 17; source_ref=1 Kings 8:22-30
missing or inferred bridge_basis,1-kings-17-elijah-in-hiddenness,rid_9d623c53de5c1dd4a895,1Kgs 17:17-24,funeral,funeral,missing,,Special service,at_burial_site,,at_burial_site,https://saintbishoy.ca/wp-content/uploads/Readings_Funeral_Updated.pdf; build_special_service_reference.py curated rows:row 104; source_ref=1Kgs 17:17-24
missing or inferred bridge_basis,1-kings-17-elijah-in-hiddenness,rid_e158edeb5d7b5c96edcc,1Kgs 17:2-24,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5447; source_ref=1Kgs 17:2-24
missing or inferred bridge_basis,1-kings-19-elijah-in-despair-and-the-still-small-voice,rid_8d533cea2864b4615c79,1Kgs 19:9-14,tuesday,Tuesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 5111; source_ref=1Kgs 19:9-14
no source for link,1-kings-19-elijah-in-despair-and-the-still-small-voice,rid_8d533cea2864b4615c79,1Kgs 19:9-14,tuesday,Tuesday,missing,,Pascha / Holy Week,Third Hour,Third Hour,Prophecy,out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 5111; source_ref=1Kgs 19:9-14
missing or inferred bridge_basis,1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,rid_a70ed0e29b6ef0a8836b,1Sam 2:1-11,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Hannah,out/data/bright_saturday_service_order.csv:row 5; source_ref=1 Samuel 2:1-11
no source for link,1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,rid_a70ed0e29b6ef0a8836b,1Sam 2:1-11,praises-of-the-prophets,PRAISES OF THE PROPHETS,missing,,Pascha / Holy Week,Midnight Praises,,Prayer of Hannah,out/data/bright_saturday_service_order.csv:row 5; source_ref=1 Samuel 2:1-11
missing or inferred bridge_basis,1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,rid_af800bdadca19e35c148,1Sam 2:1-21,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5423; source_ref=1Sam 2:1-21
missing or inferred bridge_basis,1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,rid_b473b92dc237d4b8fada,1Sam 1:1-28,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5422; source_ref=1Sam 1:1-28
missing or inferred bridge_basis,1-samuel-17-18-david-and-goliath-victory-and-jealousy,rid_180a1761f988febbc467,1Sam 18:6-9,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5194; source_ref=1Sam 18:6-9
missing or inferred bridge_basis,1-samuel-17-18-david-and-goliath-victory-and-jealousy,rid_321c491845175cc010c3,1Sam 17:16-54,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5193; source_ref=1Sam 17:16-54
missing or inferred bridge_basis,1-samuel-23-24-wilderness-discernment-and-mercy-toward-saul,rid_13395ea4cdb09602919d,1Sam 24:1-22,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,missing,,Great Lent,prophecy,,prophecy,sources/katameros-api/Core/KatamerosDatabase.db:row 5273; source_ref=1Sam 24:1-22
